Ct OIII SII NII OII Ha Hb
195 1.3258E+34 6.6472E+33 2.5224E+33 2.9786E+34 6.2134E+34 2.2418E+34
196 5.4975E+33 6.4612E+33 1.6239E+35 1.5321E+34 1.1773E+35 4.2274E+34
197 9.5161E+33 1.6326E+34 1.2634E+35 3.0750E+34 1.1880E+35 4.2486E+34
198 1.3258E+34 8.9661E+33 3.1918E+33 3.5709E+34 7.2275E+34 2.6071E+34
199 1.3258E+34 1.3152E+34 4.2556E+33 4.5428E+34 8.7572E+34 3.1583E+34
200 1.3258E+34 1.6680E+34 5.0410E+33 5.2884E+34 9.8156E+34 3.5398E+34
201 5.3818E+33 7.0667E+32 3.1460E+34 5.2964E+33 3.6434E+34 1.3181E+34
202 1.6246E+34 9.6043E+32 4.9727E+32 1.5553E+34 1.0483E+35 3.8354E+34
203 1.7147E+34 1.9666E+33 9.7272E+32 2.3853E+34 1.4779E+35 5.3964E+34
204 1.7154E+34 3.0617E+33 1.4573E+33 3.0549E+34 1.8274E+35 6.6654E+34
205 9.2893E+33 1.6396E+33 2.2561E+34 9.0373E+33 3.7932E+34 1.3631E+34
206 1.3258E+34 2.1511E+34 5.9610E+33 6.1768E+34 1.1006E+35 3.9678E+34
207 1.7154E+34 4.0064E+33 1.8241E+33 3.5511E+34 2.0992E+35 7.6512E+34
208 1.7154E+34 5.5255E+33 2.3400E+33 4.2369E+34 2.4949E+35 9.0836E+34
209 1.7154E+34 7.3056E+33 2.8527E+33 4.8985E+34 2.9116E+35 1.0587E+35
210 5.4960E+33 1.2267E+33 4.9899E+34 6.7685E+33 5.0150E+34 1.8098E+34
211 9.5140E+33 2.9234E+33 3.6823E+34 1.2019E+34 5.1764E+34 1.8570E+34
212 5.4975E+33 1.7308E+33 6.5447E+34 7.8244E+33 6.1540E+34 2.2174E+34
213 9.5160E+33 3.9885E+33 4.7246E+34 1.3915E+34 6.1613E+34 2.2081E+34
214 5.4975E+33 2.4986E+33 8.6327E+34 9.2846E+33 7.6084E+34 2.7383E+34
215 9.5161E+33 5.7876E+33 6.2864E+34 1.6841E+34 7.5681E+34 2.7101E+34
216 1.5979E+34 9.5059E+32 4.9153E+33 1.5210E+34 1.0517E+35 3.8474E+34
217 5.4975E+33 3.1728E+33 1.0274E+35 1.0495E+34 8.6584E+34 3.1149E+34
218 1.6841E+34 1.9313E+33 9.5413E+33 2.3145E+34 1.4790E+35 5.4005E+34
219 1.6848E+34 3.0192E+33 1.4334E+34 2.9653E+34 1.8351E+35 6.6936E+34
220 9.5161E+33 7.9359E+33 7.9306E+34 2.0110E+34 8.9171E+34 3.1920E+34
221 1.6848E+34 3.9648E+33 1.7981E+34 3.4509E+34 2.1130E+35 7.7012E+34
222 1.6848E+34 5.4400E+33 2.2963E+34 4.1043E+34 2.5040E+35 9.1169E+34
